,code,tradeStatus,code_name
423,sh.600238,1,ST椰岛
424,sh.600239,1,云南城投
425,sh.600240,1,退市华业
426,sh.600241,1,时代万恒
427,sh.600242,1,中昌数据
428,sh.600243,1,青海华鼎
429,sh.600246,1,万通地产
430,sh.600247,1,ST成城
431,sh.600248,1,延长化建
432,sh.600249,1,两面针
433,sh.600250,1,南纺股份
434,sh.600251,1,冠农股份
435,sh.600252,1,中恒集团
436,sh.600255,1,梦舟股份
437,sh.600256,1,广汇能源
438,sh.600257,1,大湖股份
439,sh.600258,1,首旅酒店
440,sh.600259,1,广晟有色
441,sh.600260,1,凯乐科技
442,sh.600261,1,阳光照明
443,sh.600262,1,北方股份
444,sh.600265,1,ST景谷
445,sh.600266,1,城建发展
446,sh.600267,1,海正药业
447,sh.600268,1,国电南自
448,sh.600269,1,赣粤高速
449,sh.600271,1,航天信息
450,sh.600272,1,开开实业
451,sh.600273,1,嘉化能源
452,sh.600275,1,ST昌鱼
453,sh.600276,1,恒瑞医药
454,sh.600277,1,亿利洁能
455,sh.600278,1,东方创业
456,sh.600279,1,重庆港九
457,sh.600280,1,中央商场
458,sh.600281,1,太化股份
459,sh.600282,1,南钢股份
460,sh.600283,1,钱江水利
461,sh.600284,1,浦东建设
462,sh.600285,1,羚锐制药
463,sh.600287,1,江苏舜天
464,sh.600288,1,大恒科技
465,sh.600289,1,*ST信通
466,sh.600290,1,ST华仪
467,sh.600291,1,西水股份
468,sh.600292,1,远达环保
469,sh.600293,1,三峡新材
470,sh.600295,1,鄂尔多斯
471,sh.600297,1,广汇汽车
472,sh.600298,1,安琪酵母
473,sh.600299,1,安迪苏
474,sh.600300,1,维维股份
475,sh.600301,1,ST南化
476,sh.600302,1,标准股份
477,sh.600303,1,曙光股份
478,sh.600305,1,恒顺醋业
479,sh.600306,1,商业城
480,sh.600307,1,酒钢宏兴
481,sh.600308,1,华泰股份
482,sh.600309,1,万华化学
483,sh.600310,1,桂东电力
484,sh.600311,1,荣华实业
485,sh.600312,1,平高电气
486,sh.600313,1,农发种业
487,sh.600315,1,上海家化
488,sh.600316,1,洪都航空
489,sh.600317,1,营口港
490,sh.600318,1,新力金融
491,sh.600319,1,ST亚星
492,sh.600320,1,振华重工
493,sh.600321,1,ST正源
494,sh.600322,1,天房发展
495,sh.600323,1,瀚蓝环境
496,sh.600325,1,华发股份
497,sh.600326,1,西藏天路
498,sh.600327,1,大东方
499,sh.600328,1,兰太实业
500,sh.600329,1,中新药业
501,sh.600330,1,天通股份
502,sh.600331,1,宏达股份
503,sh.600332,1,白云山
504,sh.600333,1,长春燃气
505,sh.600335,1,国机汽车
506,sh.600336,1,澳柯玛
507,sh.600337,1,美克家居
508,sh.600338,1,西藏珠峰
509,sh.600339,1,中油工程
510,sh.600340,1,华夏幸福
511,sh.600343,1,航天动力
512,sh.600345,1,长江通信
513,sh.600346,1,恒力石化
514,sh.600348,1,阳泉煤业
515,sh.600350,1,山东高速
516,sh.600351,1,亚宝药业
517,sh.600352,1,浙江龙盛
518,sh.600353,1,旭光股份
519,sh.600354,1,敦煌种业
520,sh.600355,1,精伦电子
521,sh.600356,1,恒丰纸业
522,sh.600358,1,国旅联合
523,sh.600359,1,新农开发
524,sh.600360,1,华微电子
525,sh.600361,1,华联综超
526,sh.600362,1,江西铜业
527,sh.600363,1,联创光电
528,sh.600365,1,通葡股份
529,sh.600366,1,宁波韵升
530,sh.600367,1,红星发展
531,sh.600368,1,五洲交通
532,sh.600369,1,西南证券
533,sh.600370,1,三房巷
534,sh.600371,1,万向德农
535,sh.600372,1,中航电子
536,sh.600373,1,中文传媒
537,sh.600375,1,华菱星马
538,sh.600376,1,首开股份
539,sh.600377,1,宁沪高速
540,sh.600378,1,昊华科技
541,sh.600379,1,宝光股份
542,sh.600380,1,健康元
543,sh.600381,1,青海春天
544,sh.600382,1,广东明珠
545,sh.600383,1,金地集团
546,sh.600385,1,*ST金泰
547,sh.600386,1,北巴传媒
548,sh.600387,1,海越能源
549,sh.600388,1,龙净环保
550,sh.600389,1,江山股份
551,sh.600390,1,五矿资本
552,sh.600391,1,航发科技
553,sh.600392,1,盛和资源
554,sh.600393,1,粤泰股份
555,sh.600395,1,盘江股份
556,sh.600396,1,*ST金山
557,sh.600397,1,安源煤业
558,sh.600398,1,海澜之家
559,sh.600399,1,ST抚钢
560,sh.600400,1,红豆股份
561,sh.600401,0,退市海润
562,sh.600403,1,大有能源
563,sh.600405,1,动力源
564,sh.600406,1,国电南瑞
565,sh.600408,1,ST安泰
566,sh.600409,1,三友化工
567,sh.600410,1,华胜天成
568,sh.600415,1,小商品城
569,sh.600416,1,湘电股份
570,sh.600418,1,江淮汽车
571,sh.600419,1,天润乳业
572,sh.600420,1,现代制药
573,sh.600421,1,*ST仰帆
574,sh.600422,1,昆药集团
575,sh.600423,1,ST柳化
576,sh.600425,1,青松建化
577,sh.600426,1,华鲁恒升
578,sh.600428,1,中远海特
579,sh.600429,1,三元股份
580,sh.600433,1,冠豪高新
581,sh.600435,1,北方导航
582,sh.600436,1,片仔癀
583,sh.600438,1,通威股份
584,sh.600439,1,瑞贝卡
585,sh.600444,1,国机通用
586,sh.600446,1,金证股份
587,sh.600448,1,华纺股份
588,sh.600449,1,宁夏建材
589,sh.600452,1,涪陵电力
590,sh.600455,1,博通股份
591,sh.600456,1,宝钛股份
592,sh.600458,1,时代新材
593,sh.600459,0,贵研铂业
594,sh.600460,1,士兰微
595,sh.600461,1,洪城水业
596,sh.600462,1,*ST九有
597,sh.600463,1,空港股份
598,sh.600466,1,蓝光发展
599,sh.600467,1,好当家
600,sh.600468,1,百利电气
601,sh.600469,1,风神股份
602,sh.600470,1,六国化工
603,sh.600475,1,华光股份
604,sh.600476,1,湘邮科技
605,sh.600477,1,杭萧钢构
606,sh.600478,1,科力远
607,sh.600479,1,千金药业
608,sh.600480,1,凌云股份
609,sh.600481,1,双良节能
610,sh.600482,1,中国动力
611,sh.600483,1,福能股份
612,sh.600485,0,*ST信威
613,sh.600486,1,扬农化工
614,sh.600487,1,亨通光电
615,sh.600488,1,天药股份
616,sh.600489,1,中金黄金
617,sh.600490,1,鹏欣资源
618,sh.600491,1,龙元建设
619,sh.600493,1,凤竹纺织
620,sh.600495,1,晋西车轴
621,sh.600496,1,精工钢构
622,sh.600497,1,驰宏锌锗
623,sh.600498,1,烽火通信
624,sh.600499,1,科达洁能
625,sh.600500,1,中化国际
626,sh.600501,1,航天晨光
627,sh.600502,1,安徽建工
628,sh.600503,1,华丽家族
629,sh.600505,1,西昌电力
630,sh.600506,1,香梨股份
631,sh.600507,1,方大特钢
632,sh.600508,1,上海能源
633,sh.600509,1,天富能源
634,sh.600510,1,黑牡丹
635,sh.600511,1,国药股份
636,sh.600512,1,腾达建设
637,sh.600513,1,联环药业
638,sh.600515,1,海航基础
639,sh.600516,1,方大炭素
640,sh.600517,1,置信电气
641,sh.600518,1,ST康美
642,sh.600519,1,贵州茅台
643,sh.600520,1,文一科技
644,sh.600521,1,华海药业
645,sh.600522,1,中天科技
646,sh.600523,1,贵航股份
647,sh.600525,1,长园集团
648,sh.600526,1,*ST菲达
649,sh.600527,1,江南高纤
650,sh.600528,1,中铁工业
651,sh.600529,1,山东药玻
652,sh.600530,1,交大昂立
653,sh.600531,1,豫光金铅
654,sh.600532,1,宏达矿业
655,sh.600533,1,栖霞建设
656,sh.600535,1,天士力
657,sh.600536,1,中国软件
658,sh.600537,1,亿晶光电
659,sh.600538,1,国发股份
660,sh.600539,1,ST狮头
661,sh.600540,1,新赛股份
662,sh.600543,1,莫高股份
663,sh.600545,1,卓郎智能
664,sh.600546,1,山煤国际
665,sh.600547,1,山东黄金
666,sh.600548,1,深高速
667,sh.600549,1,厦门钨业
668,sh.600550,1,保变电气
669,sh.600551,1,时代出版
670,sh.600552,1,凯盛科技
671,sh.600555,1,海航创新
672,sh.600556,1,ST慧球
673,sh.600557,1,康缘药业
674,sh.600558,1,大西洋
675,sh.600559,1,老白干酒
676,sh.600560,1,金自天正
677,sh.600561,1,江西长运
678,sh.600562,1,国睿科技
679,sh.600563,1,法拉电子
680,sh.600565,1,迪马股份
681,sh.600566,1,济川药业
682,sh.600567,1,山鹰纸业
683,sh.600568,1,中珠医疗
684,sh.600569,1,安阳钢铁
685,sh.600570,1,恒生电子
686,sh.600571,1,信雅达
