,trade_date,ts_code,rzye,rqye,rzmre,rqyl,rzche,rqchl,rqmcl,rzrqye
633,20200729,159997.SZ,24319121.0,1202880.0,4187112.0,960000.0,3741014.0,0.0,0.0,25522001.0
634,20200729,159998.SZ,2689932.0,0.0,697128.0,0.0,360727.0,0.0,0.0,2689932.0
635,20200729,300001.SZ,864802383.0,33426497.0,46331474.0,1598589.0,41435641.0,55700.0,149900.0,898228880.0
636,20200729,300002.SZ,976626448.0,30915651.0,85863912.0,4487032.0,60128207.0,561900.0,243300.0,1007542099.0
637,20200729,300003.SZ,997656691.0,34487780.0,66941095.0,800552.0,62826861.0,14700.0,35900.0,1032144471.0
638,20200729,300006.SZ,163317736.0,0.0,13403319.0,0.0,15221065.0,0.0,0.0,163317736.0
639,20200729,300009.SZ,997662116.0,48842793.0,174309090.0,2341457.0,171816200.0,149300.0,55500.0,1046504909.0
640,20200729,300010.SZ,823090878.0,25176209.0,22139795.0,1138165.0,40064804.0,146900.0,16900.0,848267087.0
641,20200729,300012.SZ,231555132.0,87274885.0,31955150.0,3701225.0,12244886.0,134000.0,183900.0,318830017.0
642,20200729,300014.SZ,2060775447.0,173398729.0,321653361.0,2983974.0,329163330.0,127749.0,341136.0,2234174176.0
643,20200729,300015.SZ,1118021970.0,89350480.0,76168417.0,1936508.0,82342235.0,28600.0,42840.0,1207372450.0
644,20200729,300017.SZ,1721004149.0,54273175.0,117877088.0,6057274.0,65245524.0,275600.0,365300.0,1775277324.0
645,20200729,300018.SZ,245986381.0,0.0,47889472.0,0.0,49816692.0,0.0,0.0,245986381.0
646,20200729,300020.SZ,787422525.0,992481.0,35741154.0,89655.0,27288842.0,1100.0,86900.0,788415006.0
647,20200729,300024.SZ,1343424599.0,61320567.0,112841090.0,3839735.0,100710416.0,339500.0,255200.0,1404745166.0
648,20200729,300025.SZ,136121350.0,0.0,5289631.0,0.0,3320378.0,0.0,0.0,136121350.0
649,20200729,300026.SZ,803951351.0,18198903.0,33317715.0,3339248.0,40354405.0,662439.0,450800.0,822150254.0
650,20200729,300027.SZ,622475828.0,1323965.0,29355934.0,279908.0,39363342.0,0.0,0.0,623799793.0
651,20200729,300033.SZ,2013366089.0,71807170.0,231892652.0,506112.0,152551152.0,62300.0,95932.0,2085173259.0
652,20200729,300034.SZ,472716813.0,1091277.0,97112873.0,45300.0,57134748.0,10500.0,21200.0,473808090.0
653,20200729,300036.SZ,472315029.0,397447.0,41394881.0,16437.0,30816172.0,0.0,4300.0,472712476.0
654,20200729,300037.SZ,208193700.0,15580531.0,24900474.0,275080.0,21455572.0,1800.0,5000.0,223774231.0
655,20200729,300038.SZ,467065655.0,36740.0,22385873.0,4400.0,21364923.0,3000.0,0.0,467102395.0
656,20200729,300039.SZ,440519492.0,0.0,7173376.0,0.0,9824838.0,0.0,0.0,440519492.0
657,20200729,300042.SZ,253232163.0,92828.0,58765269.0,4600.0,62493202.0,3500.0,0.0,253324991.0
658,20200729,300053.SZ,700567224.0,3456459.0,35598003.0,297202.0,33216920.0,89900.0,45100.0,704023683.0
659,20200729,300054.SZ,921502584.0,7775443.0,89659673.0,396100.0,78605437.0,160200.0,49500.0,929278027.0
660,20200729,300055.SZ,403962463.0,25001.0,9847436.0,3788.0,9173309.0,0.0,0.0,403987464.0
661,20200729,300058.SZ,1353495024.0,37242538.0,92427156.0,5201472.0,55465400.0,234600.0,302100.0,1390737562.0
662,20200729,300059.SZ,11903930775.0,693110773.0,2443104284.0,25959205.0,2147624570.0,5942863.0,5070371.0,12597041548.0
663,20200729,300065.SZ,355590856.0,674139.0,24088106.0,41846.0,63144842.0,6200.0,22600.0,356264995.0
664,20200729,300066.SZ,246255966.0,51100.0,14096149.0,10000.0,17266238.0,0.0,10000.0,246307066.0
665,20200729,300068.SZ,431445709.0,53624.0,40566557.0,3883.0,82592281.0,100.0,2800.0,431499333.0
666,20200729,300070.SZ,1208468397.0,36385640.0,78486492.0,4191894.0,59225391.0,447267.0,123787.0,1244854037.0
667,20200729,300072.SZ,841272558.0,18062139.0,33346333.0,3092832.0,25559847.0,193090.0,104400.0,859334697.0
